2022/12/15 15:53:48 [error] 8#8: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.128.1, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://192.168.128.2:9001", host: "127.0.0.1:8001"
2022/12/15 16:08:52 [warn] 8#8: *1 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 172.20.4.173, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "172.20.22.30:8001"
2022/12/15 16:08:53 [warn] 8#8: *3 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/2/00/0000000002 while reading upstream, client: 172.20.4.173, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "172.20.22.30:8001"
2022/12/15 16:09:18 [warn] 8#8: *5 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/3/00/0000000003 while reading upstream, client: 172.20.4.173, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "172.20.22.30:8001"
2022/12/16 09:52:35 [warn] 8#8: *12 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/4/00/0000000004 while reading upstream, client: 172.20.4.174, server: , request: "GET /api/login HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/16 09:52:45 [warn] 8#8: *12 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/5/00/0000000005 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/login HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/16 09:55:24 [warn] 8#8: *15 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/6/00/0000000006 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/login HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/16 09:56:30 [warn] 8#8: *17 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/7/00/0000000007 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/login HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/16 10:16:13 [warn] 8#8: *26 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/8/00/0000000008 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/createUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/16 10:26:30 [warn] 8#8: *35 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/9/00/0000000009 while reading upstream, client: 172.20.4.174, server: , request: "GET /api/login HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/16 10:26:56 [warn] 8#8: *35 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/0/01/0000000010 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/getDataForInquiryUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
